ID,title,author,isbn,publisher,edition,pages,dimension
163,The Misplaced Battleship by Harry Harrison Science Fiction Fantasy,Harry Harrison,9781463897475,Alan Rodgers Books,,38,6.00(w) x 9.00(h) x 0.25(d)
164,Moonstone The Level 6 Penguin Readers,Wilkie Collins,9781405882682,Pearson Education ESL,,128,5.00(w) x 7.70(h) x 0.40(d)
165,Mosby's Memoirs (Barnes & Noble Library of Essential Reading) by John S. Mos,,9780760773727,Barnes & Noble,,288,5.50(w) x 8.10(h) x 0.90(d)
166,Reach for Infinity,Jonathan Strahan;  Alastair Reynolds;  Greg Egan;  Ken Macleod,9781781082034,Solaris,,352,5.00(w) x 7.70(h) x 1.00(d)
167,The Camel Club (Camel Club Series #1),David Baldacci,9781455533404,Grand Central Publishing,,480,5.20(w) x 7.90(h) x 1.40(d)
168,Foundations of Vacuum Science and Technology / Edition 1,James M. Lafferty,9780471175933,Wiley,,760,7.17(w) x 10.39(h) x 1.65(d)
169,How Brain Science Can Make You a Better Lawyer,David A. Sousa,9781604425345,American Bar Association,,150,5.90(w) x 8.90(h) x 0.40(d)
170,Wild Things (Chicagoland Vampires Series #9),Chloe Neill,9780451415196,Penguin Publishing Group,,368,5.30(w) x 7.90(h) x 1.00(d)
171,Teacher's Dead,Benjamin Zephaniah,9780747586098,Gardners Books,,,6.00(w) x 1.25(h) x 9.00(d)
172,Arkansas,John Brandon,9780802144362,Grove/Atlantic Inc.,First Trade Paper Edition,224,5.40(w) x 8.20(h) x 0.90(d)
173,All New People: A Novel,Anne Lamott,9781619027930,Counterpoint Press,Reissue,176,5.50(w) x 8.20(h) x 0.40(d)
174,Masques (Sianim Series #1),Patricia Briggs,9780441019427,Penguin Publishing Group,,320,4.20(w) x 6.70(h) x 0.90(d)
175,Against All Odds (Heroes of Quantico Series #1),Irene Hannon,9780800733100,Baker Publishing Group,,336,5.36(w) x 8.52(h) x 0.88(d)
176,MaddAddam (MaddAddam Trilogy #3),Margaret Atwood,9780307455482,Knopf Doubleday Publishing Group,Reprint,416,5.20(w) x 7.90(h) x 1.00(d)
177,High Voltage Engineering: Fundamentals - Technology - Applications,Andreas Kuchler,9783642119927,Springer Berlin Heidelberg,5th ed. 2018,650,7.60(w) x 10.24(h) x (d)
178,Convergence: Best Arizona Teen Writing of 2015,Young Authors of Arizona,9781508973706,CreateSpace Publishing,,302,6.00(w) x 9.00(h) x 0.68(d)
179,Out of Time: A Paranormal Romance,Monique Martin,9781466243439,CreateSpace Publishing,,294,6.00(w) x 9.00(h) x 0.66(d)
180,The Sandman: Overture Deluxe Edition,Neil Gaiman;  JH Williams,9781401248963,DC Comics,Deluxe,224,7.40(w) x 11.10(h) x 0.70(d)
181,Chocolat,Joanne Harris,9780140282030,Penguin Publishing Group,,336,7.76(w) x 10.88(h) x 0.56(d)
182,Franny's Way,Karen Rouillard,9781511990813,CreateSpace Publishing,,474,6.00(w) x 9.00(h) x 0.95(d)
183,The Year's Best Science Fiction and Fantasy 2013,Rich Horton,9781607013921,Prime Books,,576,6.00(w) x 8.80(h) x 1.70(d)
184,Feminisms of the Belle Epoque: A Historical and Literary Anthology / Edition 1,Lydia Willis,2900803297486,UNP - Nebraska Paperback,New Edition,337,6.00(w) x 1.25(h) x 9.00(d)
185,La Luna,Isaac Asimov;  Richard Hantula,9780836838688,Gareth Stevens Publishing LLLP,Spanish-language Edition,32,7.75(w) x 10.00(h) x (d)
186,Actionman,Scott Lee,9781511616324,CreateSpace Publishing,,182,6.00(w) x 9.00(h) x 0.39(d)
187,I Got Your Back Hailey,June Kramin,9781497301641,CreateSpace Publishing,,302,6.00(w) x 1.25(h) x 9.00(d)
188,Broken By Life,Kathy J. Marble,9781498451062,Xulon Press,,104,6.00(w) x 9.00(h) x 0.22(d)
189,Four Corners Level 2 Teacher's Edition with Assessment Audio CD/CD-ROM,Jack C. Richards;  David Bohlke,9780521126885,Cambridge University Press,Teachers G,416,8.50(w) x 10.87(h) x 0.79(d)
190,Star Trek Deep Space Nine: Twist of Faith,S. D. Perry;  Weddle David;  Jeffrey Lang;  Keith R. A. DeCandido,9781416534150,Pocket Books/Star Trek,Original,688,6.00(w) x 9.00(h) x 1.90(d)
191,Sherlock Holmes Volume 3,Arthur Conan Doyle,9781631061745,Race Point Publishing,,504,7.50(w) x 5.70(h) x 1.20(d)
192,Murder She Barked (Paws and Claws Mystery Series #1),Krista Davis,9780425262559,Penguin Publishing Group,,304,4.10(w) x 6.70(h) x 1.00(d)
193,El Libro del demonio,Erika McGann,9786074808971,Ediciones B,Spanish-language Edition,186,5.90(w) x 9.00(h) x 0.60(d)
194,Star Trek: Seekers: Point of Divergence,Dayton Ward;  Kevin Dilmore,9781476757261,Pocket Books/Star Trek,,368,4.10(w) x 6.70(h) x 1.00(d)
195,A Pocket Full of Chaos,Rev Timothy Edward Bowen,9781500579098,CreateSpace Publishing,,76,5.00(w) x 8.00(h) x 0.16(d)
196,Go Fish-Game Cards,School Zone Publishing; Other Format,9780887432712,School Zone Publishing Company,Game Cards,,3.40(w) x 6.38(h) x 0.93(d)
197,The pilgrim's progress from this world to that which is to come. Delivered under the similitude of a dream: By: John Bunyan and Harold Copping (Illustrated),John Bunyan;  Harold Copping,9781543086638,CreateSpace Publishing,,218,8.00(w) x 10.00(h) x 0.46(d)
198,Riddle-Master,Patricia A. McKillip;  Patricia A. McKillip,9780441005963,Penguin Publishing Group,,592,6.00(w) x 9.00(h) x 1.30(d)
199,The Forgotten Road (Signed Book) (Broken Road Series #2),Richard Paul Evans,9781982101534,Simon & Schuster,Signed Edition,320,5.00(w) x 8.00(h) x (d)
200,Twisting the Rope,R. A. MacAvoy,9781497642317,Open Road Integrated Media LLC,,196,5.50(w) x 8.40(h) x 0.50(d)
201,The Complete Adventures of Peter Pan (complete and unabridged) includes: The Little White Bird Peter Pan in Kensington Gardens (illustrated) and Peter and Wendy(illustrated),J. M. Barrie;  Arthur Rackham;  F. D. Bedford,9781781394816,Benediction Books,,326,6.70(w) x 9.50(h) x 0.70(d)
202,Days of Black,Daya Singh,9781470141134,CreateSpace Publishing,,102,5.00(w) x 8.00(h) x 0.21(d)
203,In for a Ruble,David Duffy,9780312621919,St. Martin's Press,,368,13.70(w) x 8.30(h) x 1.30(d)
204,Blood Will Out,W. W. Smith,9781523735167,CreateSpace Publishing,,264,6.00(w) x 9.00(h) x 0.55(d)
205,La viuda negra: Un juego letal cuyo objetivo es la venganza,Daniel Silva,9780718092436,HarperCollins Espanol,,512,5.90(w) x 8.70(h) x 1.50(d)
206,Louis Pasteur: Groundbreaking Chemist and Biologist,Sue Vander Hook,9781617147838,ABDO Publishing Company,,112,6.20(w) x 9.10(h) x 0.50(d)
207,Devil's Embrace,Catherine Coulter,9780451200266,Penguin Publishing Group,Reissue,416,4.20(w) x 6.80(h) x 1.10(d)
208,Alcatraz Versus the Evil Librarians (Alcatraz Versus the Evil Librarians Series #1),Brandon Sanderson;  Hayley Lazo,9780765378941,Tom Doherty Associates,,320,5.80(w) x 8.30(h) x 1.00(d)
209,A Storyteller Book: Peter Pan,J. M. Barrie;  Jenny Press,9781843228844,Armadillo,,48,8.80(w) x 11.00(h) x 0.30(d)
210,First Grade Scholar,School Zone Publishing Company;  Charles Jordan;  Julie Giglio,9780887434921,School Zone Publishing Company,Deluxe Edition,64,8.45(w) x 10.78(h) x 0.18(d)
211,The Pilgrim's Progress: Retold for the Modern Reader,John Bunyan;  Veronica Murphy,9781596440333,christianaudio.com,Abridged,,5.40(w) x 7.60(h) x 0.55(d)
212,Mrs Oliphant: A Fiction to Herself - A Literary Life,Elisabeth Jay,9780198128755,Oxford University Press USA,,376,6.44(w) x 9.50(h) x 1.09(d)
213,Blood from a Silver Cross,E.S. Moore,9781601832450,Random House,,252,5.50(w) x 8.50(h) x 0.57(d)
214,Mass In D Op. 10 - Vocal Score,John Knowles Paine,9781608740123,Serenissima Music,,282,8.27(w) x 11.69(h) x 0.59(d)
