title,author,isbn,publisher,edition,pages,dimensions
The 2017 Rhysling Anthology: The best science fiction fantasy amp; horror poetry of 2016 selected by the Science Fiction Poetry Association,David C. Kopaska-Merkel,9.78154E+12,CreateSpace Publishing,,218,5.50(w) x 8.50(h) x 0.46(d)
Kristin Hannah - Collection: Between Sisters & Home Again & Firefly Lane by Kristin Hannah  Laural Merlington  Tanya E,  Susan Ericksen,9.78153E+12,Brilliance Audio,Unabridged,,5.75(w) x 6.25(h) x 0.70(d)
Fairy Tale Desserts: A Cookbook for Young Readers and Eaters,Jane Yolen,9.78161E+12,Rosen Publishing Group Incorporated The,,31,8.50(w) x 11.10(h) x 0.30(d)
Star Trek Volume 8,Mike Johnson;  Yasmin Liang;  Erfan Fajar;  Joe Corroney,9.78163E+12,IDW Publishing,,152,6.60(w) x 10.10(h) x 0.40(d)
Allied Artists Horror Science Fiction and Fantasy Films,Michael R. Pitts,9.78079E+12,McFarland & Company Incorporated Publishers,,254,6.90(w) x 9.90(h) x 0.50(d)
Christmas Books,Charles Dickens,9.78141E+12,Hesperides Press,,448,5.50(w) x 8.50(h) x 1.00(d)
Inside HBO's Game of Thrones: Seasons 3 & 4,C. A. Taylor,9.78145E+12,Chronicle Books LLC,,192,9.00(w) x 11.10(h) x 1.00(d)
Haunted,James Herbert,9.78151E+12,Pan Macmillan,Reprint,400,5.00(w) x 7.50(h) x 0.60(d)
The Scarlet Letter and Other Writings / Edition 2,Nathaniel Hawthorne,9.78039E+12,Norton W. W. & Company Inc.,Second Edition,752,5.60(w) x 9.10(h) x 0.90(d)
Star Trek: Khan,Mike Johnson;  Claudio Balboni,9.78161E+12,IDW Publishing,,124,6.60(w) x 10.20(h) x 0.40(d)
The Procedure,Harry Mulisch,9.78014E+12,Penguin Publishing Group,Reprint,240,5.07(w) x 7.70(h) x 0.53(d)
Pride and Prejudice (Barnes & Noble Classics Series),Jane Austen,9.78159E+12,Barnes & Noble,,432,5.10(w) x 7.90(h) x 1.20(d)
Count Me a Rhyme: Animal Poems by the Numbers,Jane Yolen,9.78162E+12,Highlights,Reprint,32,8.50(w) x 9.50(h) x 0.10(d)
Intersections: Fantasy and Science Fiction,George E Slusser;  Eric S Rabkin,9.78081E+12,Southern Illinois University Press,1st Edition,252,5.50(w) x 8.50(h) x 1.00(d)
Exotic Dusk: A Story Told by Candlelight,Ron Koppelberger,9.78148E+12,CreateSpace Publishing,,98,6.00(w) x 9.00(h) x 0.23(d)
The Eternal Husband,Fyodor Dostoevsky;  Hugh Aplin;  Andrew Miller,9.78184E+12,Hesperus Press,,176,5.00(w) x 8.00(h) x 0.55(d)
Fairy Tales Come True At Christmas ~ Grey Scale Edition,Laurel Marie Sobol,9.78149E+12,CreateSpace Publishing,,62,8.50(w) x 11.00(h) x 0.13(d)
